economical_threshold,strongest_threshold,exact_tier_percent,safe_step_percent,under_route_percent,over_route_percent,row_weighted_trajectory_pass_percent,failure_aware_cost_savings_proxy_percent,normalized_failure_aware_bill_percent,runtime_v3_equivalent,pareto_efficient
55,75,74.123711,96.185567,3.814433,22.061856,93.298969,56.492784,43.507216,False,True
50,75,72.061856,96.391753,3.608247,24.329897,93.505155,56.402062,43.597938,False,True
40,75,66.701031,97.113402,2.886598,30.412371,94.329897,56.397938,43.602062,False,True
45,75,70.103093,96.597938,3.402062,26.494845,93.71134,56.323711,43.676289,False,False
20,75,47.216495,98.350515,1.649485,51.134021,96.701031,56.134021,43.865979,False,True
55,70,74.123711,96.185567,3.814433,22.061856,93.298969,55.960825,44.039175,False,False
30,75,50.103093,98.247423,1.752577,48.14433,96.082474,55.886598,44.113402,False,False
50,70,72.061856,96.391753,3.608247,24.329897,93.505155,55.870103,44.129897,False,False
40,70,66.701031,97.113402,2.886598,30.412371,94.329897,55.865979,44.134021,False,False
45,70,70.103093,96.597938,3.402062,26.494845,93.71134,55.791753,44.208247,False,False
25,75,49.072165,98.247423,1.752577,49.175258,96.082474,55.762887,44.237113,False,False
35,75,52.989691,97.628866,2.371134,44.639175,95.463918,55.762887,44.237113,False,False
20,70,47.216495,98.350515,1.649485,51.134021,96.701031,55.602062,44.397938,False,False
30,70,50.103093,98.247423,1.752577,48.14433,96.082474,55.354639,44.645361,False,False
25,70,49.072165,98.247423,1.752577,49.175258,96.082474,55.230928,44.769072,False,False
35,70,52.989691,97.628866,2.371134,44.639175,95.463918,55.230928,44.769072,True,False
55,65,74.020619,96.185567,3.814433,22.164948,93.298969,54.719588,45.280412,False,False
50,65,71.958763,96.391753,3.608247,24.43299,93.505155,54.628866,45.371134,False,False
40,65,66.597938,97.113402,2.886598,30.515464,94.329897,54.624742,45.375258,False,False
45,65,70.0,96.597938,3.402062,26.597938,93.71134,54.550515,45.449485,False,False
20,65,47.113402,98.350515,1.649485,51.237113,96.701031,54.360825,45.639175,False,False
30,65,50.0,98.247423,1.752577,48.247423,96.082474,54.113402,45.886598,False,False
25,65,48.969072,98.247423,1.752577,49.278351,96.082474,53.989691,46.010309,False,False
35,65,52.886598,97.628866,2.371134,44.742268,95.463918,53.989691,46.010309,False,False
55,60,74.020619,96.185567,3.814433,22.164948,93.298969,53.389691,46.610309,False,False
50,60,71.958763,96.391753,3.608247,24.43299,93.505155,53.298969,46.701031,False,False
40,60,66.597938,97.113402,2.886598,30.515464,94.329897,53.294845,46.705155,False,False
45,60,70.0,96.597938,3.402062,26.597938,93.71134,53.220619,46.779381,False,False
20,60,47.113402,98.350515,1.649485,51.237113,96.701031,53.030928,46.969072,False,False
30,60,50.0,98.247423,1.752577,48.247423,96.082474,52.783505,47.216495,False,False
25,60,48.969072,98.247423,1.752577,49.278351,96.082474,52.659794,47.340206,False,False
35,60,52.886598,97.628866,2.371134,44.742268,95.463918,52.659794,47.340206,False,False
50,55,71.85567,96.391753,3.608247,24.536082,93.505155,52.412371,47.587629,False,False
40,55,66.494845,97.113402,2.886598,30.618557,94.329897,52.408247,47.591753,False,False
45,55,69.896907,96.597938,3.402062,26.701031,93.71134,52.334021,47.665979,False,False
55,80,68.969072,87.835052,12.164948,18.865979,74.329897,52.241237,47.758763,False,False
50,80,66.907216,88.041237,11.958763,21.134021,74.536082,52.150515,47.849485,False,False
40,80,61.546392,88.762887,11.237113,27.216495,75.360825,52.146392,47.853608,False,False
20,55,47.010309,98.350515,1.649485,51.340206,96.701031,52.14433,47.85567,False,False
45,80,64.948454,88.247423,11.752577,23.298969,74.742268,52.072165,47.927835,False,False
30,55,49.896907,98.247423,1.752577,48.350515,96.082474,51.896907,48.103093,False,False
20,80,42.061856,90.0,10.0,47.938144,77.731959,51.882474,48.117526,False,False
25,55,48.865979,98.247423,1.752577,49.381443,96.082474,51.773196,48.226804,False,False
35,55,52.783505,97.628866,2.371134,44.845361,95.463918,51.773196,48.226804,False,False
55,90,64.948454,79.484536,20.515464,14.536082,59.381443,51.65567,48.34433,False,False
30,80,44.948454,89.896907,10.103093,44.948454,77.113402,51.635052,48.364948,False,False
50,90,62.886598,79.690722,20.309278,16.804124,59.587629,51.564948,48.435052,False,False
40,90,57.525773,80.412371,19.587629,22.886598,60.412371,51.560825,48.439175,False,False
25,80,43.917526,89.896907,10.103093,45.979381,77.113402,51.51134,48.48866,False,False
35,80,47.835052,89.278351,10.721649,41.443299,76.494845,51.51134,48.48866,False,False
45,90,60.927835,79.896907,20.103093,18.969072,59.793814,51.486598,48.513402,False,False
20,90,38.041237,81.649485,18.350515,43.608247,62.783505,51.296907,48.703093,False,False
30,90,40.927835,81.546392,18.453608,40.618557,62.164948,51.049485,48.950515,False,False
25,90,39.896907,81.546392,18.453608,41.649485,62.164948,50.925773,49.074227,False,False
35,90,43.814433,80.927835,19.072165,37.113402,61.546392,50.925773,49.074227,False,False
55,85,66.185567,81.443299,18.556701,15.257732,59.381443,48.641237,51.358763,False,False
50,85,64.123711,81.649485,18.350515,17.525773,59.587629,48.550515,51.449485,False,False
40,85,58.762887,82.371134,17.628866,23.608247,60.412371,48.546392,51.453608,False,False
45,85,62.164948,81.85567,18.14433,19.690722,59.793814,48.472165,51.527835,False,False
20,85,39.278351,83.608247,16.391753,44.329897,62.783505,48.282474,51.717526,False,False
30,85,42.164948,83.505155,16.494845,41.340206,62.164948,48.035052,51.964948,False,False
25,85,41.134021,83.505155,16.494845,42.371134,62.164948,47.91134,52.08866,False,False
35,85,45.051546,82.886598,17.113402,37.835052,61.546392,47.91134,52.08866,False,False
